Fecha_Hora,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2023-07-01 00:00:00,37,-9999.0,1.0,28.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.928,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,251.9,1.0,79.3,1.0,639.9,1.0,-9999.0,1.0,0.0,1.0,19.2,1.0,0.2,1.0
2023-07-01 01:00:00,37,-9999.0,1.0,25.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1.61,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,256.2,1.0,82.3,1.0,639.7,1.0,-9999.0,1.0,0.0,1.0,18.6,1.0,0.2,1.0
2023-07-01 02:00:00,37,-9999.0,1.0,21.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,253.7,1.0,83.6,1.0,639.3,1.0,-9999.0,1.0,0.0,1.0,18.5,1.0,0.4,1.0
2023-07-01 03:00:00,37,-9999.0,1.0,17.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3.01,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,257.9,1.0,83.6,1.0,639.0,1.0,-9999.0,1.0,0.0,1.0,18.0,1.0,0.3,1.0
2023-07-01 04:00:00,37,-9999.0,1.0,16.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,3927.0,3.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,253.2,1.0,81.5,1.0,638.7,1.0,-9999.0,1.0,0.0,1.0,17.9,1.0,0.4,1.0
2023-07-01 05:00:00,37,-9999.0,1.0,21.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,1305.0,3.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,259.3,1.0,86.1,1.0,638.6,1.0,-9999.0,1.0,0.0,1.0,17.2,1.0,0.3,1.0
2023-07-01 06:00:00,37,-9999.0,1.0,19.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2651.0,3.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,251.7,1.0,85.4,1.0,638.8,1.0,-9999.0,1.0,0.6,1.0,17.0,1.0,0.3,3.0
2023-07-01 07:00:00,37,-9999.0,1.0,7.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,2.66,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,259.2,1.0,84.3,1.0,639.1,1.0,-9999.0,1.0,42.4,1.0,17.5,1.0,0.3,3.0
2023-07-01 08:00:00,37,-9999.0,1.0,56.0,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,5669.0,3.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,56.0,1.0,62.7,1.0,639.4,1.0,-9999.0,1.0,258.6,1.0,22.4,1.0,0.3,3.0
2023-07-01 09:00:00,37,-9999.0,1.0,46.0,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.42,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,107.5,1.0,54.8,1.0,639.4,1.0,-9999.0,1.0,418.1,1.0,24.2,1.0,0.2,1.0
2023-07-01 10:00:00,37,-9999.0,1.0,41.0,2.2,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,14.78,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,79.5,1.0,49.3,1.0,639.3,1.0,-9999.0,1.0,498.7,1.0,25.5,1.0,0.7,1.0
2023-07-01 11:00:00,37,-9999.0,1.0,29.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.26,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,250.0,1.0,41.7,1.0,638.9,1.0,-9999.0,1.0,495.7,1.0,27.2,1.0,0.5,1.0
